date,timeMODIS,timeImage,cloudMaskForMODISTime,coverageForMODISTime
2015-11-12 14:55:00,2015-11-12 14:55:00,2015-11-12 14:54:01,1.0,0.735144
2015-11-14 14:40:00,2015-11-14 14:40:00,2015-11-14 14:40:00,1.0,0.795476
2015-11-16 14:30:00,2015-11-16 14:30:00,2015-11-16 14:30:00,1.0,0.852724
2015-11-17 15:10:00,2015-11-17 15:10:00,2015-11-17 15:10:01,1.0,0.522852
2015-11-18 14:15:00,2015-11-18 14:15:00,2015-11-18 14:15:01,1.0,0.751524
2015-11-19 15:00:00,2015-11-19 15:00:00,2015-11-19 15:00:00,1.0,0.083756
2015-11-20 14:05:00,2015-11-20 14:05:00,2015-11-20 14:05:01,1.0,0.000456
2015-11-21 14:45:00,2015-11-21 14:45:00,2015-11-21 14:44:00,1.0,0.789124
2015-11-23 14:35:00,2015-11-23 14:35:00,2015-11-23 14:34:01,1.0,0.722068
2015-11-26 15:05:00,2015-11-26 15:05:00,2015-11-26 15:04:01,1.0,0.626756
2015-12-02 14:30:00,2015-12-02 14:30:00,2015-12-02 14:30:01,1.0,0.772092
2015-12-03 15:10:00,2015-12-03 15:10:00,2015-12-03 15:10:00,1.0,0.925756
2015-12-04 14:15:00,2015-12-04 14:15:00,2015-12-04 14:15:01,1.0,0.75304
2015-12-05 15:00:00,2015-12-05 15:00:00,2015-12-05 15:00:01,1.0,0.816876
2015-12-06 14:05:00,2015-12-06 14:05:00,2015-12-06 14:05:01,1.0,0.61746
2015-12-07 14:45:00,2015-12-07 14:45:00,2015-12-07 14:44:00,1.0,0.9024
2015-12-09 14:35:00,2015-12-09 14:35:00,2015-12-09 14:34:01,1.0,0.744224
2015-12-11 14:25:00,2015-12-11 14:25:00,2015-12-11 14:24:01,1.0,0.098112
2015-12-12 15:05:00,2015-12-12 15:05:00,2015-12-12 15:04:00,1.0,0.068584
2015-12-13 14:10:00,2015-12-13 14:10:00,2015-12-13 14:10:01,1.0,0.134704
2015-12-14 14:55:00,2015-12-14 14:55:00,2015-12-14 14:54:01,1.0,0.914244
2015-12-16 14:40:00,2015-12-16 14:40:00,2015-12-16 14:40:00,1.0,0.126812
2015-12-18 14:30:00,2015-12-18 14:30:00,2015-12-18 14:30:00,1.0,0.670764
2015-12-19 15:10:00,2015-12-19 15:10:00,2015-12-19 15:10:02,1.0,0.77262
2015-12-20 14:15:00,2015-12-20 14:15:00,2015-12-20 14:15:01,1.0,0.752588
2015-12-21 15:00:00,2015-12-21 15:00:00,2015-12-21 15:00:01,1.0,0.568244
2015-12-22 14:05:00,2015-12-22 14:05:00,2015-12-22 14:05:01,1.0,0.56276
2015-12-23 14:45:00,2015-12-23 14:45:00,2015-12-23 14:44:00,1.0,0.618296
2015-12-25 14:35:00,2015-12-25 14:35:00,2015-12-25 14:34:01,1.0,0.93662
